contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.00838431722712285,0.5324096005435074,69,-0.01574787009581301,0.9874809838661558,1,ns
PLX CON - PLX EtOH,F,-2.199762566031012,0.5324096005435072,69,-4.131710930429124,9.953581768171285e-5,7.962865414537028e-4,***
VEH CON - VEH EtOH,F,-3.46681894795313,0.5182094521429762,69,-6.689995586951625,4.827239823485592e-9,3.8617918587884735e-8,****
PLX EtOH - VEH EtOH,F,-1.2754406991492404,0.5182094521429761,69,-2.461245532814676,0.01635039411979938,0.13080315295839504,ns
PLX CON - VEH CON,M,0.7190807042939523,0.5182094521429763,69,1.3876256045124293,0.16971624252723375,1,ns
PLX CON - PLX EtOH,M,-0.3943360825513803,0.5324096005435073,69,-0.7406629823144146,0.46141089497005927,1,ns
VEH CON - VEH EtOH,M,-3.809974330322018,0.5324096005435074,69,-7.156096220715455,6.929805864396147e-10,5.543844691516918e-9,****
PLX EtOH - VEH EtOH,M,-2.6965575434766853,0.5462407245999429,69,-4.9365736058064815,5.307636471512857e-6,4.2461091772102855e-5,****
