contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.2484906649787988,0.5194553440334,69,-0.4783677130922371,0.6339007742036664,1,ns
PLX CON - PLX EtOH,F,-1.5377875424886516,0.5194553440333999,69,-2.960384487621664,0.004208958789986596,0.033671670319892766,*
VEH CON - VEH EtOH,F,-3.0334653628466732,0.5056007047384039,69,-5.99972534535168,8.167516781831475e-8,6.53401342546518e-7,****
PLX EtOH - VEH EtOH,F,-1.7441684853368205,0.5056007047384038,69,-3.4496955185995,9.613653709964746e-4,0.007690922967971797,**
PLX CON - VEH CON,M,0.07932306391169441,0.5056007047384039,69,0.15688875266251043,0.8757906904241337,1,ns
PLX CON - PLX EtOH,M,-0.3364828372398736,0.5194553440334,69,-0.6477608539498217,0.5192892322652759,1,ns
VEH CON - VEH EtOH,M,-3.5840827760867278,0.5194553440334001,69,-6.8996937220002446,2.0205014241225217e-9,1.6164011392980173e-8,****
PLX EtOH - VEH EtOH,M,-3.1682768749351595,0.5329499378532145,69,-5.944792652941014,1.0196624739202146e-7,8.157299791361717e-7,****
