contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.4434777200059409,0.6091329488880004,69,-0.7280474990156572,0.46904804379064435,1,ns
PLX CON - PLX EtOH,F,-2.1592522412834048,0.6091329488880002,69,-3.544796329315657,7.104985303319017e-4,0.005683988242655214,**
VEH CON - VEH EtOH,F,-3.7472882272422114,0.5928864757571013,69,-6.320414414002306,2.2134998634352178e-8,1.7707998907481742e-7,****
PLX EtOH - VEH EtOH,F,-2.031513705964748,0.5928864757571012,69,-3.4264800919443403,0.0010342604321037536,0.008274083456830028,**
PLX CON - VEH CON,M,-0.032542240043461734,0.5928864757571014,69,-0.05488780968043856,0.9563864629378627,1,ns
PLX CON - PLX EtOH,M,-0.8116365089079708,0.6091329488880003,69,-1.332445585794776,0.1870976370402858,1,ns
VEH CON - VEH EtOH,M,-4.774533543535627,0.6091329488880004,69,-7.838245414653325,3.95040434957465e-11,3.16032347965972e-10,****
PLX EtOH - VEH EtOH,M,-3.9954392746711185,0.6249572191008811,69,-6.393140446348171,1.642630447966229e-8,1.3141043583729832e-7,****
