contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,0.8212776292145104,0.4145732190849541,69,1.9810194952467846,0.05157616201269956,0.41260929610159647,ns
PLX CON - PLX EtOH,F,-0.36404330807943214,0.4145732190849539,69,-0.8781158341171882,0.38292838618022784,1,ns
VEH CON - VEH EtOH,F,-1.8014360341909352,0.4035159405762973,69,-4.46434911993351,3.052477966023102e-5,2.4419823728184814e-4,***
PLX EtOH - VEH EtOH,F,-0.6161150968969925,0.4035159405762972,69,-1.5268668098144114,0.1313653487205426,1,ns
PLX CON - VEH CON,M,0.6922993199848869,0.40351594057629736,69,1.7156678345746443,0.0907102705767779,0.7256821646142232,ns
PLX CON - PLX EtOH,M,-0.6180644786243296,0.41457321908495404,69,-1.4908451635841828,0.1405597672335752,1,ns
VEH CON - VEH EtOH,M,-1.8864217470742641,0.41457321908495415,69,-4.550274017308627,2.233424253867193e-5,1.7867394030937544e-4,***
PLX EtOH - VEH EtOH,M,-0.5760579484650478,0.4253431481354188,69,-1.354336965319223,0.18004759055319217,1,ns
