Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,1.3427051814516178,9.505666566274263,0.12108255342624989,0.002944031396571155,**
diet,1,69,1.3427051814516178,87.07898839835883,0.5579161506102795,7.4618335995893e-14,****
sex,1,69,1.3427051814516178,0.3213978365067288,0.004636343849625477,0.5726084977788293,ns
drug:diet,1,69,1.3427051814516178,19.59712017011547,0.22119364751909554,3.495128542923759e-5,****
drug:sex,1,69,1.3427051814516178,0.4300150394257861,0.0061935034751411525,0.5141622271624853,ns
diet:sex,1,69,1.3427051814516178,1.910981027866695,0.02694901410425721,0.1713126980027646,ns
drug:diet:sex,1,69,1.3427051814516178,4.125764104905518,0.05642011615751101,0.04608916569073404,*
