Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,252.8954931114687,8.712630905139594,0.11211344672881711,0.00431507773761939,**
diet,1,69,252.8954931114687,14.926943446783742,0.1778563931170518,2.493531244919098e-4,***
sex,1,69,252.8954931114687,0.020150548425996815,2.91951673038713e-4,0.8875310911255962,ns
drug:diet,1,69,252.8954931114687,8.564162491841111,0.11041391045435404,0.004638597580902341,**
drug:sex,1,69,252.8954931114687,0.9644921824803865,0.013785452483022556,0.3294887595080699,ns
diet:sex,1,69,252.8954931114687,0.02354178968173766,3.4106898996100047e-4,0.8785044020883869,ns
drug:diet:sex,1,69,252.8954931114687,1.0055093889914368,0.014363289372044136,0.31948472061012834,ns
