contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.1666666666666754,7.306780997522403,69,-0.02280986206144526,0.9818677774599505,1,ns
PLX CON - PLX EtOH,F,-6.483333333333299,7.306780997522401,69,-0.8873036341901696,0.37799787883920477,1,ns
VEH CON - VEH EtOH,F,-20.446666666666623,7.111898383856009,69,-2.8749942087306115,0.005368334031043819,0.042946672248350554,*
PLX EtOH - VEH EtOH,F,-14.13,7.111898383856009,69,-1.9868112896656487,0.05091554731602118,0.40732437852816944,ns
PLX CON - VEH CON,M,-0.016666666666675933,7.111898383856011,69,-0.002343490551623912,0.9981369290701799,1,ns
PLX CON - PLX EtOH,M,-0.3185185185184918,7.306780997522403,69,-0.04359218082853388,0.9653553912432997,1,ns
VEH CON - VEH EtOH,M,-28.838888888888825,7.306780997522404,69,-3.946866465365195,1.8810906767549007e-4,0.0015048725414039206,**
PLX EtOH - VEH EtOH,M,-28.53703703703701,7.496599126885155,69,-3.8066644026214833,3.016815095671014e-4,0.002413452076536811,**
