contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,0.22365079365079388,0.5055502578134273,69,0.442390821079023,0.6595900674051172,1,ns
PLX CON - PLX EtOH,F,-0.47769841269841273,0.5055502578134272,69,-0.9449078609207372,0.348003062069169,1,ns
VEH CON - VEH EtOH,F,-1.2163492063492063,0.49206648765310546,69,-2.4719204352861803,0.01590954240528741,0.12727633924229928,ns
PLX EtOH - VEH EtOH,F,-0.5149999999999999,0.49206648765310534,69,-1.0466065316828934,0.2989336162427756,1,ns
PLX CON - VEH CON,M,0.2769805194805195,0.4920664876531055,69,0.5628924676451118,0.575332607800157,1,ns
PLX CON - PLX EtOH,M,-0.20942320025653371,0.5055502578134273,69,-0.4142480337411302,0.6799774252398716,1,ns
VEH CON - VEH EtOH,M,-1.722963764630431,0.5055502578134274,69,-3.408095907383135,0.0010956616087791989,0.008765292870233591,**
PLX EtOH - VEH EtOH,M,-1.2365600448933778,0.518683620407645,69,-2.3840352697498672,0.019879128576674433,0.15903302861339547,ns
