Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,33.62110150475677,6.110217993885452,0.0813500234333346,0.01591096700495443,*
diet,1,69,33.62110150475677,20.80756918627022,0.23169059551220192,2.1434148793313494e-5,****
sex,1,69,33.62110150475677,0.0034627876600759446,5.018280996609922e-5,0.9532452970257717,ns
drug:diet,1,69,33.62110150475677,6.415317851381104,0.08506650948582614,0.013591762727959587,*
drug:sex,1,69,33.62110150475677,0.8894824515836529,0.012726985812204964,0.34890821295981256,ns
diet:sex,1,69,33.62110150475677,0.009626860626096967,1.3950025618222312e-4,0.9221242031634809,ns
drug:diet:sex,1,69,33.62110150475677,0.9978429023121553,0.014255337892408036,0.3213233479704498,ns
