contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,0.006835016835019747,2.6641674300705374,69,0.002565535768462863,0.997960403883261,1,ns
PLX CON - PLX EtOH,F,-4.136238576238579,2.6641674300705365,69,-1.5525445321314013,0.125106990104785,1,ns
VEH CON - VEH EtOH,F,-8.195901875901875,2.5931101598180035,69,-3.160645468481409,0.0023383716887963404,0.018706973510370723,*
PLX EtOH - VEH EtOH,F,-4.052828282828276,2.593110159818003,69,-1.5629217553614163,0.12264614759753689,0.9811691807802951,ns
PLX CON - VEH CON,M,0.15450660450660747,2.5931101598180044,69,0.059583509756273294,0.9526595874569632,1,ns
PLX CON - PLX EtOH,M,-1.232839074505742,2.664167430070537,69,-0.4627483470410496,0.6450008518661379,1,ns
VEH CON - VEH EtOH,M,-10.579954304954306,2.664167430070538,69,-3.971204731931651,1.731385219107227e-4,0.0013851081752857817,**
PLX EtOH - VEH EtOH,M,-9.192608625941958,2.73337810958271,69,-3.3630944045810565,0.0012608121208574083,0.010086496966859267,*
