Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,1.210647141356319,1.5510607229730746,0.02198493838474654,0.2171916650434894,ns
diet,1,69,1.210647141356319,13.035369936270659,0.15889938628176128,5.750438454313495e-4,***
sex,1,69,1.210647141356319,0.13892647514522852,0.002009381432833951,0.710493086980276,ns
drug:diet,1,69,1.210647141356319,5.027756550908865,0.0679171811380138,0.028160959368152272,*
drug:sex,1,69,1.210647141356319,0.4426046970042617,0.006373676490613486,0.50808571474537,ns
diet:sex,1,69,1.210647141356319,0.05630606161080019,8.15364516610039e-4,0.8131357405700839,ns
drug:diet:sex,1,69,1.210647141356319,0.5951734105763654,0.008551935161726561,0.44305959044520526,ns
