Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,0.037141383209811675,2.239247614926041,0.03143278024257058,0.13910678433715667,ns
diet,1,69,0.037141383209811675,2.178904357494992,0.030611659130793546,0.14446329640458974,ns
sex,1,69,0.037141383209811675,1.4290170499998394,0.020290174559519036,0.23601728461946272,ns
drug:diet,1,69,0.037141383209811675,3.8069451532092495,0.05228821433447333,0.05510188442675541,ns
drug:sex,1,69,0.037141383209811675,2.790380596544067,0.03886844690552307,0.09936220014114844,ns
diet:sex,1,69,0.037141383209811675,3.9004215935900737,0.053503416143933884,0.05227647648340396,ns
drug:diet:sex,1,69,0.037141383209811675,1.4779638437911375,0.020970580918979558,0.22823645064805084,ns
