contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.0499999999999996,3.031566354627781,69,-0.016493124065608208,0.986888585808546,1,ns
PLX CON - PLX EtOH,F,-1.9494444444444534,3.0315663546277802,69,-0.643048581624666,0.5223238893536073,1,ns
VEH CON - VEH EtOH,F,-8.6602380952381,2.9507100137995432,69,-2.9349675348431017,0.004527187428015675,0.0362174994241254,*
PLX EtOH - VEH EtOH,F,-6.760793650793644,2.950710013799543,69,-2.2912429954741533,0.025007592075058604,0.20006073660046883,ns
PLX CON - VEH CON,M,0.021388888888889346,2.950710013799544,69,0.00724872616721407,0.994237321097166,1,ns
PLX CON - PLX EtOH,M,-0.07938271604939295,3.0315663546277807,69,-0.026185379689351928,0.9791850623724656,1,ns
VEH CON - VEH EtOH,M,-9.31003086419754,3.0315663546277816,69,-3.0710298819570565,0.003050797400412755,0.02440637920330204,*
PLX EtOH - VEH EtOH,M,-9.209259259259259,3.110321452757809,69,-2.9608705721055757,0.004203079989357015,0.03362463991485612,*
