contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,0.21420321263071407,0.23156701426152726,69,0.9250160836326937,0.35818142580424184,1,ns
PLX CON - PLX EtOH,F,-0.24674313511269436,0.2315670142615272,69,-1.065536626188165,0.2903475668361941,1,ns
VEH CON - VEH EtOH,F,-0.7907501838191597,0.22539078084307504,69,-3.508351942618752,7.982413023598898e-4,0.006385930418879119,**
PLX EtOH - VEH EtOH,F,-0.32980383607575137,0.22539078084307498,69,-1.4632534429408293,0.14793868810776564,1,ns
PLX CON - VEH CON,M,0.22681571238323567,0.2253907808430751,69,1.0063220489091462,0.31777672985900973,1,ns
PLX CON - PLX EtOH,M,-0.20246276162076166,0.23156701426152723,69,-0.8743160690067204,0.3849791960373943,1,ns
VEH CON - VEH EtOH,M,-0.9312788882577541,0.2315670142615273,69,-4.0216387952646215,1.456760846943535e-4,0.001165408677554828,**
PLX EtOH - VEH EtOH,M,-0.5020004142537567,0.23758274368932114,69,-2.112949814697845,0.03822475434138904,0.30579803473111233,ns
