Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,0.025326272962948027,2.382682266744727,0.03337899601252102,0.1272609723214444,ns
diet,1,69,0.025326272962948027,2.308054073541632,0.032367368644799686,0.13327422605677822,ns
sex,1,69,0.025326272962948027,1.397225413079809,0.01984773412419468,0.24124630144909018,ns
drug:diet,1,69,0.025326272962948027,4.3286891737664535,0.05903131806309521,0.041190105218519124,*
drug:sex,1,69,0.025326272962948027,3.03932148787565,0.042189757275645265,0.08572416285770768,ns
diet:sex,1,69,0.025326272962948027,4.456373121591596,0.06066693647146186,0.038396719904425065,*
drug:diet:sex,1,69,0.025326272962948027,1.4554220126783373,0.020657345752842646,0.23178006831227796,ns
