Factor,num Df,den Df,MSE,F,ges,p,p<.05
drug,1,69,0.25400502044525547,0.7214652854386384,0.010347821613974552,0.39860116391058475,ns
diet,1,69,0.25400502044525547,22.271660370434354,0.244015067547175,1.1985801079160808e-5,****
sex,1,69,0.25400502044525547,0.09866507862779293,0.0014278868993419967,0.7543852522442325,ns
drug:diet,1,69,0.25400502044525547,7.65376447844142,0.09984851403604596,0.007264732264109576,**
drug:sex,1,69,0.25400502044525547,0.12031452626693057,0.0017406536282645088,0.7297492719567062,ns
diet:sex,1,69,0.25400502044525547,0.0437648414686251,6.338710174497805e-4,0.8349081418261206,ns
drug:diet:sex,1,69,0.25400502044525547,0.1613561585152676,0.002333039250205639,0.6891524718575328,ns
