contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,-0.15065187042699496,0.44695728863609224,69,-0.33706099946756674,0.7370940405545574,1,ns
PLX CON - PLX EtOH,F,-1.2468871411019162,0.44695728863609213,69,-2.789723252767265,0.006814087767271402,0.054512702138171214,ns
VEH CON - VEH EtOH,F,-2.6066450542293236,0.4350362792837958,69,-5.991787761978535,8.433918112400092e-8,6.747134489920073e-7,****
PLX EtOH - VEH EtOH,F,-1.5104097835544026,0.43503627928379573,69,-3.471916838846186,8.961670276058242e-4,0.007169336220846594,**
PLX CON - VEH CON,M,-0.015376167482234415,0.4350362792837959,69,-0.03534456369374144,0.9719070409807916,1,ns
PLX CON - PLX EtOH,M,-0.2860443312372858,0.4469572886360922,69,-0.6399813550645105,0.5243041456430784,1,ns
VEH CON - VEH EtOH,M,-3.3019785516232742,0.44695728863609224,69,-7.387682527114373,2.6261559372231433e-10,2.1009247497785146e-9,****
PLX EtOH - VEH EtOH,M,-3.0313103878682224,0.4585685024473065,69,-6.610376359672776,6.711090527176227e-9,5.3688724217409816e-8,****
