contrast,sex,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
PLX CON - VEH CON,F,8.326672684688674e-17,0.0731208426203586,69,1.138755023368717e-15,0.9999999999999991,1,ns
PLX CON - PLX EtOH,F,-0.012467674692144319,0.07312084262035858,69,-0.17050780933797696,0.8651097818886466,1,ns
VEH CON - VEH EtOH,F,-0.2512264273136967,0.07117060202492041,69,-3.5299185361075023,7.451511641600453e-4,0.005961209313280362,**
PLX EtOH - VEH EtOH,F,-0.23875875262155227,0.0711706020249204,69,-3.3547384148577364,0.0012939554255998415,0.010351643404798732,*
PLX CON - VEH CON,M,0.03900353197707143,0.07117060202492043,69,0.5480286925690796,0.5854408503629167,1,ns
PLX CON - PLX EtOH,M,0.053241096293852055,0.07312084262035859,69,0.7281247642382674,0.4690010525540833,1,ns
VEH CON - VEH EtOH,M,-0.010254960236530664,0.0731208426203586,69,-0.14024674592132552,0.8888736401528831,1,ns
PLX EtOH - VEH EtOH,M,-0.024492524553311273,0.07502040161471342,69,-0.3264781849489281,0.7450508186288001,1,ns
