drug,diet,sex,n,mean_cing_retro_mean,mean_cing_retro_sd,mean_cing_retro_sem,mean_motor_mean,mean_motor_sd,mean_motor_sem,mean_visual_mean,mean_visual_sd,mean_visual_sem,mean_parietal_mean,mean_parietal_sd,mean_parietal_sem,mean_somato_mean,mean_somato_sd,mean_somato_sem,mean_auditory_mean,mean_auditory_sd,mean_auditory_sem,mean_ad_insul_mean,mean_ad_insul_sd,mean_ad_insul_sem,mean_hippo_mean,mean_hippo_sd,mean_hippo_sem,mean_dHippo_mean,mean_dHippo_sd,mean_dHippo_sem,mean_vHippo_mean,mean_vHippo_sd,mean_vHippo_sem,mean_peri_entor_mean,mean_peri_entor_sd,mean_peri_entor_sem,mean_pirif_apirif_mean,mean_pirif_apirif_sd,mean_pirif_apirif_sem,mean_PLCo_mean,mean_PLCo_sd,mean_PLCo_sem,mean_BLA_mean,mean_BLA_sd,mean_BLA_sem
PLX,CON,F,9,0.009259259259259259,0.027777777777777776,0.009259259259259259,0.03703703703703705,0.11111111111111112,0.03703703703703704,0.038580246913580245,0.08032107209674755,0.026773690698915848,0.022222222222222223,0.06666666666666668,0.022222222222222227,0.12407407407407409,0.15255033575273313,0.05085011191757771,0.012345679012345673,0.03703703703703702,0.012345679012345673,0,0,0,0,0,0,0,0,0,0,0,0,0.053703703703703705,0.10061539042374906,0.03353846347458302,0.326984126984127,0.22942960590672576,0.07647653530224192,0,0,0,0,0,0
PLX,CON,M,10,0,0,0,0.014285714285714287,0.04517539514526256,0.014285714285714284,0.06694444444444445,0.10763425915969303,0.0340369413209471,0.02,0.06324555320336758,0.019999999999999997,0.09261904761904763,0.12833826594755282,0.04058412313506945,0.04761904761904763,0.10997147984564302,0.03477603539715341,0.0625,0.1767766952966369,0.0625,0.045000000000000005,0.0955975359979999,0.030230595245361754,0.054285714285714284,0.12950279941641932,0.04095238095238094,0.03333333333333334,0.10540925533894602,0.03333333333333335,0.17950660450660452,0.13637730052532146,0.04312628908052934,0.38765873015873015,0.5601926796847545,0.17714847963569597,0.025,0.07905694150420949,0.024999999999999998,0.025,0.07905694150420949,0.024999999999999998
PLX,EtOH,F,10,0,0,0,0,0,0,0.023611111111111104,0.04988412498907768,0.015774745405000755,0,0,0,0.02,0.06324555320336758,0.019999999999999997,0,0,0,0.08333333333333331,0.18002057495577392,0.05692750425533111,1.9494444444444445,4.592119300582455,1.452155627705994,0.0125,0.03952847075210474,0.012499999999999999,6.4833333333333325,15.32255055646923,4.845415932152321,4.18994227994228,8.855342022634858,2.800305025132848,0.8046825396825398,1.2971014236537521,0.41017948549928607,0.1366666666666667,0.270550422036628,0.08555555555555555,0,0,0
PLX,EtOH,M,9,0,0,0,0.027777777777777773,0.08333333333333333,0.027777777777777776,0.7380952380952381,2.161230752915324,0.7204102509717747,0.27777777777777785,0.8333333333333334,0.2777777777777778,0.3206349206349206,0.856997342145496,0.28566578071516535,0.1492063492063492,0.3968698387812311,0.13228994626041038,0.25396825396825395,0.6615449518785622,0.22051498395952074,0.1243827160493827,0.16823210296014346,0.05607736765338115,0,0,0,0.35185185185185186,0.4444444444444444,0.14814814814814814,1.4123456790123456,2.5059893960716577,0.8353297986905526,0.5970819304152637,0.43852039151355066,0.1461734638378502,0.044444444444444446,0.13333333333333336,0.04444444444444445,0.06481481481481483,0.13028932666176193,0.04342977555392064
VEH,CON,F,10,0,0,0,0,0,0,0,0,0,0,0,0,0.012500000000000002,0.03952847075210474,0.012499999999999999,0,0,0,0,0,0,0.05,0.10801234497346435,0.034156502553198666,0,0,0,0.16666666666666666,0.3600411499115478,0.1138550085106622,0.04686868686868687,0.06361444761835039,0.0201166546567461,0.10333333333333335,0.17458946555127972,0.055210036661354864,0,0,0,0,0,0
VEH,CON,M,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714285714285,0.04517539514526256,0.014285714285714284,0,0,0,0.02361111111111111,0.0498841249890777,0.01577474540500076,0.014285714285714287,0.04517539514526256,0.014285714285714284,0.05,0.15811388300841897,0.049999999999999996,0.025,0.056245713142546075,0.017786456215091246,0.11067821067821068,0.21339303228837372,0.06748080188411139,0,0,0,0.03703703703703704,0.11111111111111112,0.03703703703703704
VEH,EtOH,F,10,0,0,0,0,0,0,0.12428571428571428,0.27455173795210114,0.08682088274863324,0,0,0,0,0,0,0.01111111111111111,0.03513641844631533,0.011111111111111112,0.575,0.9577897008796403,0.30287969742310406,8.710238095238095,13.82974557458742,4.373349547633031,0.2910714285714286,0.509410451342047,0.16108972901352464,20.613333333333333,28.330877671361147,8.959010155310851,8.242770562770563,8.30867080128613,2.6274324060600436,1.3196825396825396,1.5135070250049152,0.4786129453680948,0.29500000000000004,0.6220262588240683,0.1967019742317465,0.375,0.8100925873009825,0.2561737691489899
VEH,EtOH,M,9,0,0,0,0.009259259259259257,0.027777777777777773,0.009259259259259257,0.015873015873015876,0.04761904761904762,0.015873015873015876,0,0,0,0.03747795414462081,0.05815594692322912,0.019385315641076373,0,0,0,0.765993265993266,0.8248226258078067,0.2749408752692689,9.333641975308643,11.684535955140387,3.894845318380129,0.024691358024691357,0.07407407407407407,0.024691358024691357,28.88888888888889,31.83933189555892,10.613110631852974,10.604954304954305,10.852666928188656,3.617555642729552,1.833641975308642,2.29967558620412,0.7665585287347066,0.5837742504409171,0.7462439658378277,0.24874798861260924,0.15625,0.2969337347913552,0.10498192871700757
