Factor,num Df,den Df,MSE,F,ges,p,p<.05
diet,1,34,66.70414226084377,4.078626175040709,0.05687507312621284,0.05136721992314399,ns
drug,1,34,66.70414226084377,38.45626422593654,0.36248835417604097,4.7239217982173586e-7,****
diet:drug,1,34,66.70414226084377,2.7815326903959887,0.039502034177419564,0.10454288788315738,ns
day,4.921222300798183,167.32155822713824,13.40823303352759,59.77044659543727,0.46644260698560747,3.6666600434715037e-35,****
diet:day,4.921222300798183,167.32155822713824,13.40823303352759,4.368741703100956,0.06006022663224889,9.81677004652418e-4,***
drug:day,4.921222300798183,167.32155822713824,13.40823303352759,90.61353526239724,0.5699532959112508,2.062243887382283e-45,****
diet:drug:day,4.921222300798183,167.32155822713824,13.40823303352759,4.434907856130604,0.06091445038071015,8.649378517488834e-4,***
