Factor,num Df,den Df,MSE,F,ges,p,p<.05
diet,1,18,1933.5079124579124,0.5097591128985788,0.024522715600725793,0.48439929286167327,ns
drug,1,18,1933.5079124579124,0.6053332697143317,0.028987176296105824,0.44665730783595214,ns
diet:drug,1,18,1933.5079124579124,0.7942372718995482,0.037692131966778605,0.38458013401033875,ns
day,4.119023620265512,74.14242516477921,59.3923236163949,57.68084975406395,0.2646584675545723,2.633717959752702e-22,****
diet:day,4.119023620265512,74.14242516477921,59.3923236163949,2.8167959905589672,0.017272435496610967,0.029796735353754517,*
drug:day,4.119023620265512,74.14242516477921,59.3923236163949,28.9315088855123,0.15291888770145615,1.0464652247616129e-14,****
diet:drug:day,4.119023620265512,74.14242516477921,59.3923236163949,0.8936426096200135,0.005545158730367782,0.47453113250895473,ns
