Factor,num Df,den Df,MSE,F,ges,p,p<.05
diet,1,34,2949.0707070707117,0.39405941950553763,0.008979632435810125,0.5343670553962562,ns
drug,1,34,2949.0707070707117,11.178308055123965,0.20447648163556487,0.0020246909473452214,**
diet:drug,1,34,2949.0707070707117,0.017565756574216457,4.037436895864483e-4,0.8953417325132724,ns
day,4.84362971266591,164.68341023064096,169.9357325695516,58.14213306283169,0.27174390529940523,5.011846343169487e-34,****
diet:day,4.84362971266591,164.68341023064096,169.9357325695516,4.183217082168011,0.026145045632429323,0.0014987555499680202,**
drug:day,4.84362971266591,164.68341023064096,169.9357325695516,89.0453937627898,0.363654603275492,2.7568530382504187e-44,****
diet:drug:day,4.84362971266591,164.68341023064096,169.9357325695516,4.361421036332449,0.02722849140747775,0.0010710017593148456,**
