Factor,num Df,den Df,MSE,F,ges,p,p<.05
diet,1,35,2896.9375468975477,1.408155549817575,0.03397567506239436,0.24335537663804777,ns
drug,1,35,2896.9375468975477,1.7548285139501512,0.041988911789263554,0.19385556795687023,ns
diet:drug,1,35,2896.9375468975477,0.005104809941158015,1.2748339174964218e-4,0.9434479617456746,ns
day,3.9027948959080527,136.59782135678185,106.84135972840957,73.65206875206425,0.2093506338790543,1.002011030733772e-32,****
diet:day,3.9027948959080527,136.59782135678185,106.84135972840957,4.016199522273065,0.01423295184551881,0.0044357452683452285,**
drug:day,3.9027948959080527,136.59782135678185,106.84135972840957,36.58317577587409,0.11623185064532168,1.8391110566969894e-20,****
diet:drug:day,3.9027948959080527,136.59782135678185,106.84135972840957,0.8410361185480152,0.0030144557398144416,0.49906510257126224,ns
