Factor,num Df,den Df,MSE,F,ges,p,p<.05
sex,1,34,5.623529411764706,11.534711517286931,0.13553261254062013,0.0017541846640239589,**
drug,1,34,5.623529411764706,4.223326359832642,0.05428778239171025,0.047619338393601586,*
sex:drug,1,34,5.623529411764706,0.57324928429861155,0.0077314545022310645,0.454185915729477,ns
day,2.558439218377935,86.9869334248498,2.5582386293176476,89.0235906572903,0.5847724545609008,1.4958660189033591e-24,****
sex:day,2.558439218377935,86.9869334248498,2.5582386293176476,2.6914030883079505,0.040838170487922786,0.0598896617003422,ns
drug:day,2.558439218377935,86.9869334248498,2.5582386293176476,1.340273616936289,0.02076238313763132,0.2677270961644822,ns
sex:drug:day,2.558439218377935,86.9869334248498,2.5582386293176476,1.1151151545730693,0.0173348824837891,0.3422709978359698,ns
