Factor,num Df,den Df,MSE,F,ges,p,p<.05
diet,1,18,2699.0740740740694,0.07999396680039386,0.0035940508075279626,0.7805324155467661,ns
drug,1,18,2699.0740740740694,8.132845974795552,0.2683206116792394,0.010590316687640818,*
diet:drug,1,18,2699.0740740740694,0.09328288278071266,0.0041886079828060705,0.763548214945655,ns
day,3.562244712906675,64.12040483232016,175.84002101699392,37.88909013113978,0.28391863064668477,2.0720296235957372e-15,****
diet:day,3.562244712906675,64.12040483232016,175.84002101699392,3.9488037629390758,0.039682386890243365,0.00829140362201093,**
drug:day,3.562244712906675,64.12040483232016,175.84002101699392,71.59509507523553,0.4283116871335265,6.29423761772491e-22,****
diet:drug:day,3.562244712906675,64.12040483232016,175.84002101699392,2.762118107482773,0.02809213095203333,0.04045490116257052,*
