drug,diet,sex,hippo_mean,hippo_sd,hippo_sem,dHippo_mean,dHippo_sd,dHippo_sem,vHippo_mean,vHippo_sd,vHippo_sem,peri_entor_mean,peri_entor_sd,peri_entor_sem,pirif_apirif_mean,pirif_apirif_sd,pirif_apirif_sem
PLX,CON,F,0,0,0,0,0,0,0,0,0,0.053703703703703705,0.10061539042374906,0.03353846347458302,0.326984126984127,0.22942960590672576,0.07647653530224192
PLX,CON,M,0.045000000000000005,0.0955975359979999,0.030230595245361754,0.054285714285714284,0.12950279941641932,0.04095238095238094,0.03333333333333334,0.10540925533894602,0.03333333333333335,0.17950660450660452,0.13637730052532146,0.04312628908052934,0.38765873015873015,0.5601926796847545,0.17714847963569597
PLX,EtOH,F,1.9494444444444445,4.592119300582455,1.452155627705994,0.0125,0.03952847075210474,0.012499999999999999,6.4833333333333325,15.32255055646923,4.845415932152321,4.18994227994228,8.855342022634858,2.800305025132848,0.8046825396825398,1.2971014236537521,0.41017948549928607
PLX,EtOH,M,0.1243827160493827,0.16823210296014346,0.05607736765338115,0,0,0,0.35185185185185186,0.4444444444444444,0.14814814814814814,1.4123456790123456,2.5059893960716577,0.8353297986905526,0.5970819304152637,0.43852039151355066,0.1461734638378502
VEH,CON,F,0.05,0.10801234497346435,0.034156502553198666,0,0,0,0.16666666666666666,0.3600411499115478,0.1138550085106622,0.04686868686868687,0.06361444761835039,0.0201166546567461,0.10333333333333335,0.17458946555127972,0.055210036661354864
VEH,CON,M,0.02361111111111111,0.0498841249890777,0.01577474540500076,0.014285714285714287,0.04517539514526256,0.014285714285714284,0.05,0.15811388300841897,0.049999999999999996,0.025,0.056245713142546075,0.017786456215091246,0.11067821067821068,0.21339303228837372,0.06748080188411139
VEH,EtOH,F,8.710238095238095,13.82974557458742,4.373349547633031,0.2910714285714286,0.509410451342047,0.16108972901352464,20.613333333333333,28.330877671361147,8.959010155310851,8.242770562770563,8.30867080128613,2.6274324060600436,1.3196825396825396,1.5135070250049152,0.4786129453680948
VEH,EtOH,M,9.333641975308643,11.684535955140387,3.894845318380129,0.024691358024691357,0.07407407407407407,0.024691358024691357,28.88888888888889,31.83933189555892,10.613110631852974,10.604954304954305,10.852666928188656,3.617555642729552,1.833641975308642,2.29967558620412,0.7665585287347066
