Factor,num Df,den Df,MSE,F,ges,p,p<.05
sex,1,34,1.4058823529411772,11.534711517286949,0.2533168901906378,0.0017541846640239498,**
drug,1,34,1.4058823529411772,4.223326359832649,0.11049081181670185,0.04761933839360139,*
sex:drug,1,34,1.4058823529411772,0.5732492842986097,0.016580717640529957,0.45418591572947764,ns
