Factor,num Df,den Df,MSE,F,ges,p,p<.05
sex,1,34,1.8745098039215677,11.534711517286919,0.08060540988341976,0.0017541846640239706,**
drug,1,34,1.8745098039215677,4.223326359832633,0.031101992710129405,0.047619338393601794,*
sex:drug,1,34,1.8745098039215677,0.5732492842986157,0.0043382129867799825,0.4541859157294754,ns
session,7.27349009594518,247.2986632621361,0.7395466132990254,53.28223124640279,0.5374953458799455,5.724369680535412e-47,****
sex:session,7.27349009594518,247.2986632621361,0.7395466132990254,2.7551480463004374,0.056686197690947474,0.008121818497798519,**
drug:session,7.27349009594518,247.2986632621361,0.7395466132990254,2.0484907590970143,0.04276879880789849,0.04736835187261471,*
sex:drug:session,7.27349009594518,247.2986632621361,0.7395466132990254,1.1091801496450733,0.023620916984718483,0.35773558274428546,ns
