name,VEH_CON_F_05,VEH_CON_F_06,VEH_CON_F_27,VEH_CON_F_29,VEH_CON_F_30,VEH_CON_F_55,VEH_CON_F_56,VEH_CON_F_84,VEH_CON_F_79,VEH_CON_F_80,VEH_CON_M_13,VEH_CON_M_14,VEH_CON_M_37,VEH_CON_M_38,VEH_CON_M_45,VEH_CON_M_46,VEH_CON_M_49,VEH_CON_M_50,VEH_CON_M_57,VEH_CON_M_58,PLX_CON_F_21,PLX_CON_F_22,PLX_CON_F_39,PLX_CON_F_40,PLX_CON_F_41,PLX_CON_F_42,PLX_CON_F_53,PLX_CON_F_54,PLX_CON_F_77,PLX_CON_M_09,PLX_CON_M_10,PLX_CON_M_19,PLX_CON_M_20,PLX_CON_M_32,PLX_CON_M_61,PLX_CON_M_62,PLX_CON_M_73,PLX_CON_M_74,PLX_CON_M_82,VEH_EtOH_F_01,VEH_EtOH_F_02,VEH_EtOH_F_15,VEH_EtOH_F_16,VEH_EtOH_F_47,VEH_EtOH_F_48,VEH_EtOH_F_59,VEH_EtOH_F_60,VEH_EtOH_F_75,VEH_EtOH_F_76,VEH_EtOH_M_03,VEH_EtOH_M_04,VEH_EtOH_M_25,VEH_EtOH_M_26,VEH_EtOH_M_43,VEH_EtOH_M_44,VEH_EtOH_M_68,VEH_EtOH_M_69,VEH_EtOH_M_70,PLX_EtOH_F_18,PLX_EtOH_F_23,PLX_EtOH_F_24,PLX_EtOH_F_33,PLX_EtOH_F_34,PLX_EtOH_F_63,PLX_EtOH_F_64,PLX_EtOH_F_83,PLX_EtOH_F_71,PLX_EtOH_F_72,PLX_EtOH_M_07,PLX_EtOH_M_08,PLX_EtOH_M_11,PLX_EtOH_M_12,PLX_EtOH_M_35,PLX_EtOH_M_51,PLX_EtOH_M_65,PLX_EtOH_M_66,PLX_EtOH_M_81
hippo,0.19869011034924142,0,0,0,0,0,0.29567304756342244,0,0,0,0,0,0.12467674692144273,0,0,0.11088374830128546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24746646154726346,0,0,0.19869011034924142,0,0,0,0,2.8934439858858716,0.28196323918998295,4.510980243011361,2.336662761370235,0,0.22043272097980163,1.999505381544459,1.3979983651114343,3.466711037884725,2.3960721455307836,4.2952011562525625,2.0947125472611012,0.12467674692144273,2.2272675466016123,2.6991616063975625,1.0159731341796923,3.093102195050827,3.5718864971703663,1.0475930126492587,0.36672460423013675,0,1.1379820462933672,0,0,1.1233646762497842,1.09861228866811,0,3.3956325715903444,0.11088374830128546,0.29567304756342244,0,0.4309781827119611,0,0,0.24746646154726346,0.12467674692144273,0,0
dHippo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14237564316780443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3900353197707153,0,0,0.14237564316780443,0,0,0,0,0.24746646154726346,0,1.233742602769682,0.6643306045898852,0,0,0,0,0.36672460423013675,0,0,0,0,0,0,0,0.22043272097980168,0,0,0,0,0,0,0,0,0.12467674692144273,0,0,0,0,0,0,0,0,0,0,0,0
vHippo,0.6251451172504168,0,0,0,0,0,0.881373587019543,0,0,0,0,0,0.48121182505960347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3274501502372585,0,0,0,0,3.5703252470502087,0.881373587019543,5.1795655330517585,2.8934439858858716,0,0.881373587019543,3.368482775417224,2.947197622570033,4.650871966337758,3.200334942211265,5.105982202822824,3.093102195050827,0.881373587019543,3.60261105028485,3.611647573772702,2.0947125472611012,4.373817234233317,5.0752128754452075,2.3124383412727525,0.881373587019543,0,2.2448790373413257,0,0,2.4060591252980172,2.0105269819028435,0,4.598582529220188,0.3274501502372585,0.881373587019543,0,0.881373587019543,0,0,0.6251451172504168,0.48121182505960347,0,0
peri_entor,0.11088374830128546,0,0,0.09078433518852214,0,0.1659045502693012,0,0,0,0.09983407889920758,0,0,0,0,0,0,0.16590455026930118,0.08323718288418645,0,0,0,0.09983407889920758,0,0,0,0,0.08323718288418645,0,0.29567304756342244,0.24746646154726346,0.3274501502372585,0.1659045502693012,0.18083104406935122,0,0.3274501502372585,0.30303309272502177,0,0,0.22043272097980168,2.852463872491961,1.0042811749530058,3.8611726299698312,1.6639815010212344,0.14237564316780443,1.696718000626668,2.5399369366506592,1.677743396480706,3.5164904201616043,3.575001715347438,4.079363357672791,0.22043272097980163,1.7457283386952915,3.9209509061591943,2.9116829125015578,1.529660495090404,3.5164904201616043,2.7764722807237177,1.1947632172871094,1.7190518512089272,0.5214938293503206,0.8088669356527824,0.43097818271196114,0,1.6472311463710958,2.3124383412727525,0.14237564316780443,4.060740143244572,0.6251451172504167,1.078451058954897,0,2.615433040003926,0,0,2.209347708615334,0.11088374830128546,0,0
pirif_apirif,0.09983407889920759,0,0,0,0,0.09983407889920759,0.48121182505960347,0,0.3274501502372585,0,0.5441712343655167,0,0,0,0,0.43097818271196114,0,0,0.09078433518852214,0,0.6251451172504168,0.43097818271196114,0.14237564316780443,0.3274501502372585,0.19869011034924142,0,0.5688248987322475,0.11088374830128546,0.43097818271196114,0.5688248987322475,0.3900353197707153,0.36672460423013675,0.4309781827119611,0,1.3778597128548824,0.09983407889920758,0,0.09983407889920759,0,0.36672460423013675,0.24746646154726346,2.3339994173604945,0.6931471805599453,0.590143685781959,0.9788708622980673,0.9788708622980673,1.7190518512089272,0.19869011034924142,0.8088669356527826,1.4922496009349575,0.19869011034924144,0.6931471805599453,2.6674201637609873,0.790168725412397,0.3900353197707153,2.0105269819028435,1.09861228866811,0,0.48121182505960347,0.22043272097980168,0.7326682560454109,0,0.2819632391899829,0.590143685781959,0.19869011034924142,0.12467674692144273,2.1874217606869744,0.8005852655149508,0.881373587019543,0.2694547493492796,0.19869011034924142,0.71522142246197,0.5214938293503206,1.078451058954897,0.881373587019543,0.16590455026930118,0.11088374830128543
