temp_subject,cage_num,sex
1,C00022015,M
2,C00022015,M
3,C00022016,M
4,C00022016,M
5,C00022017,M
6,C00022017,M
7,C00022018,M
8,C00022018,M
9,C00022019,M
10,C00022019,M
11,C00022020,M
12,C00022020,M
13,C00022021,M
14,C00022021,M
15,C00022022,M
16,C00022022,M
17,C00022023,M
18,C00022023,M
19,C00022024,M
20,C00022024,M
21,C00022025,M
22,C00022025,M
23,C00022026,M
24,C00022026,M
25,C00022027,F
26,C00022027,F
27,C00022028,F
28,C00022028,F
29,C00022029,F
30,C00022029,F
31,C00022030,F
32,C00022030,F
33,C00022031,F
34,C00022031,F
35,C00022032,F
36,C00022032,F
37,C00022033,F
38,C00022033,F
39,C00022034,F
40,C00022034,F
41,C00022035,F
42,C00022035,F
43,C00022036,F
44,C00022036,F
45,C00022037,F
46,C00022037,F
47,C00022038,F
48,C00022038,F
