unblind,subject,drug,diet,sex,blind_code,n_cing_retro,n_motor,n_visual,n_parietal,n_somato,n_auditory,n_ad_insul,n_hippo,n_dHippo,n_vHippo,n_peri_entor,n_pirif_apirif,n_PLCo,n_BLA,sum_cing_retro,sum_motor,sum_visual,sum_parietal,sum_somato,sum_auditory,sum_ad_insul,sum_hippo,sum_dHippo,sum_vHippo,sum_peri_entor,sum_pirif_apirif,sum_PLCo,sum_BLA,mean_cing_retro,mean_motor,mean_visual,mean_parietal,mean_somato,mean_auditory,mean_ad_insul,mean_hippo,mean_dHippo,mean_vHippo,mean_peri_entor,mean_pirif_apirif,mean_PLCo,mean_BLA
41_F_PLX_CON,41,PLX,CON,F,OOO,16,5,10,5,7,5,3,11,10,1,12,10,7,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
42_F_PLX_CON,42,PLX,CON,F,FF,15,8,9,3,8,7,7,11,7,4,10,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53_F_PLX_CON,53,PLX,CON,F,T,14,3,9,5,6,8,2,10,8,3,12,10,5,3,0,0,2,1,0,0,0,0,0,0,1,6,0,0,0,0,0.2222222222222222,0.2,0,0,0,0,0,0,0.08333333333333333,0.6,0,0
54_F_PLX_CON,54,PLX,CON,F,J,13,2,8,5,6,8,1,9,7,3,12,9,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0
77_F_PLX_CON,77,PLX,CON,F,RR,12,2,9,3,5,7,2,9,6,3,10,9,4,2,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0.3,0.4444444444444444,0,0
09_M_PLX_CON,09,PLX,CON,M,LL,15,4,10,4,6,7,3,10,9,2,12,10,6,5,0,0,1,0,0,1,0,0,0,0,3,6,0,0,0,0,0.10000000000000002,0,0,0.14285714285714288,0,0,0,0,0.25,0.6,0,0
10_M_PLX_CON,10,PLX,CON,M,XXX,13,4,8,3,6,6,4,10,8,3,9,10,5,4,0,0,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0.33333333333333337,0,0,0,0,0,0.33333333333333337,0.4,0,0
19_M_PLX_CON,19,PLX,CON,M,AA,12,1,9,4,4,8,0,8,5,4,12,8,4,1,0,0,1,0,1,0,0,2,2,0,2,3,1,0,0,0,0.11111111111111108,0,0.25,0,NA,0.25,0.4,0,0.16666666666666669,0.375,0.25,0
20_M_PLX_CON,20,PLX,CON,M,V,13,2,9,3,5,7,2,9,7,4,11,9,5,3,0,0,3,0,1,0,0,0,0,0,2,4,0,0,0,0,0.33333333333333337,0,0.2,0,0,0,0,0,0.1818181818181818,0.44444444444444436,0,0
32_M_PLX_CON,32,PLX,CON,M,K,13,7,9,5,6,7,6,9,6,3,11,11,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714288,0,0,0,0,0,0,0,0,0,0,0,0
61_M_PLX_CON,61,PLX,CON,M,QQ,14,3,10,5,6,9,2,10,7,3,9,7,6,4,0,0,0,1,0,0,1,2,1,1,3,13,0,1,0,0,0,0.2,0,0,0.5,0.2,0.14285714285714288,0.33333333333333337,0.33333333333333337,1.8571428571428572,0,0.25
62_M_PLX_CON,62,PLX,CON,M,VV,11,1,8,6,6,10,0,10,7,3,13,10,6,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0.125,0,0,0,NA,0,0,0,0.3076923076923077,0.1,0,0
73_M_PLX_CON,73,PLX,CON,M,S,9,3,5,3,5,6,3,9,6,3,7,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74_M_PLX_CON,74,PLX,CON,M,E,12,3,7,3,4,7,3,10,7,4,9,10,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,0
82_M_PLX_CON,82,PLX,CON,M,AAA,14,5,7,4,7,6,4,10,9,2,9,11,4,5,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0.14285714285714288,0.33333333333333337,0,0,0,0,0.2222222222222222,0,0,0
01_F_VEH_EtOH,01,VEH,EtOH,F,SSS,12,1,9,3,4,6,1,8,4,4,11,8,4,1,0,0,1,0,0,0,1,72,1,71,95,3,0,0,0,0,0.1111111111111111,0,0,0,1,9,0.25,17.75,8.636363636363635,0.375,0,0
02_F_VEH_EtOH,02,VEH,EtOH,F,PP,12,1,9,3,4,8,1,7,6,2,11,8,4,1,0,0,0,0,0,0,0,2,0,2,13,2,0,0,0,0,0,0,0,0,0,0.28571428571428575,0,1,1.1818181818181819,0.25,0,0
15_F_VEH_EtOH,15,VEH,EtOH,F,HH,13,2,9,4,5,9,1,10,7,5,12,9,4,3,0,0,8,0,0,1,3,455,11,444,285,46,8,3,0,0,0.8888888888888887,0,0,0.1111111111111111,3,45.5,1.5714285714285716,88.8,23.75,5.111111111111111,2,1
16_F_VEH_EtOH,16,VEH,EtOH,F,X,12,1,9,3,4,7,1,8,7,4,11,8,4,2,0,0,0,0,0,0,0,41,5,36,28,6,0,5,0,0,0,0,0,0,0,5.125,0.7142857142857143,9,2.545454545454546,0.75,0,2.5
47_F_VEH_EtOH,47,VEH,EtOH,F,Z,9,8,6,1,3,4,7,6,4,2,7,8,3,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714288,0.625,0,0
48_F_VEH_EtOH,48,VEH,EtOH,F,KK,13,3,9,4,5,8,2,9,7,2,11,7,4,3,0,0,0,0,0,0,0,2,0,2,29,8,0,0,0,0,0,0,0,0,0,0.22222222222222218,0,1,2.6363636363636362,1.1428571428571428,0,0
59_F_VEH_EtOH,59,VEH,EtOH,F,NN,11,2,7,4,4,7,1,8,6,2,10,7,4,2,0,0,1,0,0,0,1,29,0,29,63,8,1,0,0,0,0.14285714285714288,0,0,0,1,3.625,0,14.5,6.3,1.1428571428571428,0.25,0
60_F_VEH_EtOH,60,VEH,EtOH,F,JJ,14,3,8,5,6,9,2,10,8,2,12,10,6,5,0,0,0,0,0,0,0,19,0,19,31,27,3,0,0,0,0,0,0,0,0,1.8999999999999997,0,9.5,2.583333333333333,2.7,0.5,0
