BrainRegion,name,VEH_CON_F_05,VEH_CON_F_06,VEH_CON_F_27,VEH_CON_F_29,VEH_CON_F_30,VEH_CON_F_55,VEH_CON_F_56,VEH_CON_F_79,VEH_CON_F_80,VEH_CON_M_14,VEH_CON_M_37,VEH_CON_M_38,VEH_CON_M_45,VEH_CON_M_46,VEH_CON_M_49,VEH_CON_M_57,VEH_CON_M_58,PLX_CON_F_21,PLX_CON_F_39,PLX_CON_F_41,PLX_CON_F_42,PLX_CON_F_53,PLX_CON_F_54,PLX_CON_F_77,PLX_CON_M_19,PLX_CON_M_20,PLX_CON_M_32,PLX_CON_M_74,VEH_EtOH_F_01,VEH_EtOH_F_02,VEH_EtOH_F_16,VEH_EtOH_F_47,VEH_EtOH_F_48,VEH_EtOH_F_59,VEH_EtOH_F_75,VEH_EtOH_F_76,VEH_EtOH_M_03,VEH_EtOH_M_04,VEH_EtOH_M_25,VEH_EtOH_M_26,VEH_EtOH_M_43,VEH_EtOH_M_69,VEH_EtOH_M_70,PLX_EtOH_F_18,PLX_EtOH_F_33,PLX_EtOH_F_34,PLX_EtOH_F_63,PLX_EtOH_F_71,PLX_EtOH_F_72,PLX_EtOH_M_07,PLX_EtOH_M_11,PLX_EtOH_M_66,PLX_EtOH_M_81,PLX_EtOH_M_35
DGML,Value,34,7.5,40,19.5,44.5,31.6,38,26.8,42,43,14,19.25,17.666666666666668,33.8,30.5,45,36.333333333333336,1,2,2,1.6666666666666667,2,1.5,1,5.333333333333333,3.3333333333333335,3,2.5,23.666666666666668,40.75,45,22,11.333333333333334,31,28.333333333333332,24.8,39.25,27,16.8,18.5,13,32.75,30,3.5,1.25,1.5,2.8,2,2.5,2.8,4,1.6666666666666667,3.3333333333333335,NA
Rhinal,Value,44,12,57.111111111111114,12.5,46.333333333333336,30.5,45,56,52.333333333333336,55.2,24.2,33.857142857142854,42.22222222222222,33.25,45.5,NA,47.666666666666664,1,1,1.5,3,1.5,NA,NA,5,1,3.625,1,24.5,37.5,55,20,21.333333333333332,42,32.333333333333336,36,47,28.333333333333332,27,20,NA,44.5,47,NA,1.3333333333333333,NA,1,NA,2,NA,2,NA,3.3333333333333335,1
dHippo,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
